Test,Output,Nominal,Spec,Weight,Pass/Fail
yg9bq_DDPUF_128_mc_1,E4_iter3,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter4,800.6e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter5,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter6,800e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter7,799.7e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter8,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter9,800e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter10,800e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter11,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter12,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter13,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter14,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter15,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter16,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter17,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter18,800e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter19,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter20,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter21,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter22,799.7e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter23,799.8e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter24,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter25,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter26,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter27,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter28,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter29,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter30,799.9e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter31,800e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter32,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter33,800e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter34,800.2e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter35,800.1e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter36,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter37,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter38,800e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter39,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter40,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter41,800.3e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter42,799.4e-3,,,
yg9bq_DDPUF_128_mc_1,E4_iter43,800e-3,,,
