mc,maj,stability,strict,ber,cnt_mode,cnt_mean,cnt_median,cnt_max,cnt_frac_ge3
198,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
199,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
200,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
201,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
202,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
203,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
204,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
205,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
206,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
207,1.0,1.0,1.0,0.0,1.0,1.622,1.0,7.0,0.162
208,1.0,1.0,1.0,0.0,2.0,2.004,2.0,3.0,0.004
209,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
210,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
211,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
212,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
213,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
214,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
215,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
216,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
217,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
218,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
219,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
220,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
221,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
222,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
223,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
224,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
225,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
226,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
227,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
228,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
229,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
230,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
231,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
232,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
233,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
234,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
235,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
236,1.0,0.806,0.0,0.194,3.0,2.624,3.0,4.0,0.614
237,1.0,1.0,1.0,0.0,1.0,1.174,1.0,7.0,0.06
238,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
239,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
240,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
241,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
242,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
243,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
244,0.0,1.0,1.0,0.0,1.0,1.062,1.0,7.0,0.008
245,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
246,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
247,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
248,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
249,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
250,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
251,0.0,1.0,1.0,0.0,1.0,1.002,1.0,2.0,0.0
252,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
253,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
254,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
255,1.0,1.0,1.0,0.0,1.0,1.076,1.0,3.0,0.024
256,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
257,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
258,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
259,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
260,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
261,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
262,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
263,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
264,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
265,0.0,0.998,0.0,0.002,2.0,2.146,2.0,3.0,0.146
266,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
267,1.0,1.0,1.0,0.0,6.0,5.786,6.0,6.0,0.948
268,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
269,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
270,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
271,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
272,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
273,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
274,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
275,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
276,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
277,0.0,0.696,0.0,0.304,4.0,3.768,4.0,7.0,0.994
278,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
279,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
280,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
281,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
282,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
283,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
284,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
285,1.0,1.0,1.0,0.0,1.0,1.016,1.0,3.0,0.006
286,1.0,1.0,1.0,0.0,1.0,1.378,1.0,6.0,0.006
287,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
288,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
289,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
290,0.0,1.0,1.0,0.0,2.0,1.724,2.0,6.0,0.02
291,0.0,1.0,1.0,0.0,1.0,1.446,1.0,7.0,0.068
292,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
293,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
294,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
295,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
296,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
297,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
298,1.0,1.0,1.0,0.0,2.0,2.002,2.0,3.0,0.002
299,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
300,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
301,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
302,1.0,1.0,1.0,0.0,2.0,2.002,2.0,3.0,0.002
303,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
304,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
305,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
306,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
307,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
308,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
309,1.0,1.0,1.0,0.0,1.0,1.056,1.0,2.0,0.0
310,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
311,0.0,1.0,1.0,0.0,1.0,0.998,1.0,1.0,0.0
312,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
313,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
314,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
315,1.0,0.92,0.0,0.08,2.0,2.504,2.0,7.0,0.47
316,0.0,1.0,1.0,0.0,2.0,2.006,2.0,3.0,0.006
317,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
318,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
319,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
320,1.0,1.0,1.0,0.0,2.0,1.978,2.0,7.0,0.006
321,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
322,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
323,0.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
324,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
325,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
326,0.0,0.934,0.0,0.066,3.0,3.104,3.0,7.0,0.944
327,1.0,0.998,0.0,0.002,2.0,2.354,2.0,7.0,0.344
328,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,0.0
329,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
330,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
